Account ID,Days Active,PS Rep Assigned (All Apps),NPS Guides Published (All Apps),Published Guides Count (All Apps),Visitors,Time on App (minutes),Quick Start End (All Apps)
SitePro,1,Grace Wingo,2,2,1,5,
Humi,5,Grace Wingo,1,3,5,43,
Adthena1,7,Grace Wingo,1,16,18,240,
intelliHR,5,Grace Wingo,1,46,4,232,
KeepTruckin,4,Grace Wingo,0,5,7,81,
ParishSOFT,5,Grace Wingo,0,13,5,335,
EverlyWell,5,Grace Wingo,1,4,4,64,
SevenGeese,5,Grace Wingo,0,24,7,253,
Divvy_Pay,6,Grace Wingo,1,10,11,139,
DialogTech1,3,Grace Wingo,0,1,3,144,
Dharma_ai,4,Grace Wingo,0,1,3,26,
MoxiWorks,2,Grace Wingo,0,8,1,28,
Jumpshot,4,Grace Wingo,0,29,4,46,
TSIA,2,Grace Wingo,1,13,2,21,2018-09-18 20:00:00
Splash1,4,Grace Wingo,0,16,3,260,2018-10-05 20:00:00
ATSI,5,Grace Wingo,1,10,4,155,2018-10-05 20:00:00
Topbox,4,Grace Wingo,0,24,2,13,2018-10-12 20:00:00
Factual,5,Grace Wingo,0,8,3,45,2018-10-26 20:00:00
ChefHero,1,Grace Wingo,0,21,1,11,2018-10-26 20:00:00
Workable,4,Grace Wingo,0,3,2,99,2018-11-02 20:00:00
Pixalate,5,Grace Wingo,1,5,5,70,2018-11-02 20:00:00
ResMan,4,Grace Wingo,1,2,3,148,2018-11-09 19:00:00
Costello,2,Grace Wingo,1,2,1,8,2018-11-16 19:00:00
Terminus_LLC,2,Grace Wingo,1,8,3,39,2018-11-16 19:00:00
Simpli_fi,4,Grace Wingo,0,4,1,89,2018-11-16 19:00:00
RVshare,2,Grace Wingo,0,10,1,22,2018-12-20 19:00:00
Recruiterbox2,5,Grace Wingo,0,4,4,97,2019-01-28 19:00:00
vPlaybook,1,Grace Wingo,0,1,2,13,2019-02-06 19:00:00
Stratasan,3,Grace Wingo,2,6,2,6,2019-02-06 19:00:00
Bonfire_Interactive,5,Grace Wingo,0,21,11,173,2019-02-22 19:00:00
Healthicity,6,Grace Wingo,2,66,7,420,2019-02-22 19:00:00
Pulse247,4,Grace Wingo,2,19,2,44,2019-02-22 19:00:00
SCOIR1,5,Grace Wingo,0,4,5,484,2019-03-01 19:00:00
LogicManager,5,Grace Wingo,0,19,9,353,2019-03-05 19:00:00
TUNE,5,Grace Wingo,1,32,9,173,2019-03-08 19:00:00
Broker_Genius,6,Grace Wingo,1,104,10,112,2019-03-11 20:00:00
Springbot,5,Grace Wingo,1,239,5,375,2019-03-11 20:00:00
ThoughtWire,5,Grace Wingo,0,0,6,267,2019-03-13 20:00:00
Upchain,5,Grace Wingo,1,9,5,97,2019-03-18 20:00:00
EROAD,5,Grace Wingo,0,5,19,256,2019-03-20 20:00:00
Kreo_Software,5,Grace Wingo,1,4,6,231,2019-03-22 20:00:00
Insite,4,Grace Wingo,0,71,2,108,2019-03-22 20:00:00
Venga,4,Grace Wingo,3,45,3,151,2019-03-22 20:00:00
Panaseer,5,Grace Wingo,1,27,5,241,2019-03-26 20:00:00
iGrafx,5,Grace Wingo,0,1,5,14,2019-03-26 20:00:00
SKYGEN_USA,3,Grace Wingo,0,0,2,107,2019-03-27 20:00:00
boodleAI1,1,Grace Wingo,0,11,1,9,2019-03-29 20:00:00
Guru2,5,Grace Wingo,0,19,13,992,2019-03-29 20:00:00
Aginity,7,Grace Wingo,0,22,9,307,2019-04-01 20:00:00
Qubole,6,Grace Wingo,0,5,6,119,2019-04-04 20:00:00
YouEarnedit,5,Grace Wingo,0,5,2,167,2019-04-05 20:00:00
Monetate2,6,Grace Wingo,0,17,9,187,2019-04-05 20:00:00
Credly2,4,Grace Wingo,0,11,5,254,2019-04-12 20:00:00
ICANotes,4,Grace Wingo,0,0,3,16,2019-04-12 20:00:00
Blue_Sombrero,3,Grace Wingo,0,0,3,17,2019-04-26 20:00:00
Zentail,5,Grace Wingo,1,40,8,291,2019-05-10 20:00:00
Arrive_Logistics,6,Grace Wingo,0,6,4,317,2019-05-10 20:00:00
Panzura,5,Grace Wingo,0,1,3,216,2019-05-14 20:00:00
EFT_Analytics1,5,Grace Wingo,0,2,3,266,2019-05-28 20:00:00
TalentSky__Inc_,2,Grace Wingo,1,7,2,8,2019-05-28 20:00:00
Legwork,4,Grace Wingo,0,3,2,33,2019-06-07 20:00:00
ATP_CaseBank,5,Grace Wingo,1,50,2,123,2019-06-07 20:00:00
Systum_Inc,2,Grace Wingo,0,0,2,22,2019-06-10 20:00:00
ZynBit,1,Grace Wingo,0,0,1,8,2019-06-17 20:00:00
Joule_Inc,4,Grace Wingo,0,2,3,35,2019-06-20 20:00:00
Hive,4,Grace Wingo,0,4,3,56,2019-06-28 20:00:00
Project_Manager,6,Grace Wingo,0,15,8,360,2019-06-28 20:00:00
Elastic_Path1,1,Grace Wingo,0,73,1,11,2019-07-03 20:00:00
Black_Swan_Data,5,Grace Wingo,0,1,5,172,2019-07-12 20:00:00
Brightflag,4,Grace Wingo,0,0,2,49,2019-08-02 20:00:00
ET_Grow_Inc_,4,Grace Wingo,0,0,3,715,2019-08-09 20:00:00
ITN_Holdings,5,Grace Wingo,0,0,2,573,2019-08-14 20:00:00
Universal_Promote,3,Grace Wingo,1,2,2,16,2019-08-23 20:00:00
Edulastic,6,Grace Wingo,0,12,2,600,2019-08-29 20:00:00
One_View,5,Grace Wingo,0,0,1,901,2019-09-12 20:00:00
