Account ID,Days Active,PS Rep Assigned (All Apps),NPS Guides Published (All Apps),Published Guides Count (All Apps),Guide Views (30 days) (All Apps),Visitors,Time on App (minutes),Quick Start End (All Apps)
Sureshot,10,Kross Pham,0,0,194,1,869,2019-09-09 20:00:00
CampusESP_LLC,15,Kross Pham,0,0,0,3,509,2019-04-30 20:00:00
Watermark_Insights,20,Kross Pham,0,0,0,7,546,2019-07-22 20:00:00
SiteZeus,18,Kross Pham,0,0,0,5,257,2019-05-17 20:00:00
Sonar,14,Kross Pham,0,0,8112,2,484,2019-08-26 20:00:00
Contently1,23,Kross Pham,0,0,7,17,1090,2019-06-12 20:00:00
Evisort_Inc_,15,Kross Pham,0,0,0,3,99,2019-08-23 20:00:00
Opsramp__Inc,10,Kross Pham,0,0,0,5,231,2019-07-12 20:00:00
Movista,9,Kross Pham,0,0,0,4,87,2019-09-06 20:00:00
Rainforest_QA,8,Kross Pham,0,0,0,3,50,2019-06-16 20:00:00
Simpleview_Inc,11,Kross Pham,0,0,0,6,154,2019-07-12 20:00:00
Comprehend,2,Kross Pham,1,1,645,1,5,2019-04-30 20:00:00
Stackify,22,Kross Pham,0,2,12522,10,1013,2019-05-28 20:00:00
LogicGate,23,Kross Pham,1,2,887,15,959,2019-08-07 20:00:00
Omatic_Software2,17,Kross Pham,0,2,20,8,527,2019-07-26 20:00:00
GoCanvas,25,Kross Pham,0,2,20188,14,1127,2019-05-30 20:00:00
HiringSolved,19,Kross Pham,1,2,401,9,610,2019-06-12 20:00:00
HeadBox,22,Kross Pham,1,3,74,15,781,2019-06-04 20:00:00
TRUCE,23,Kross Pham,0,4,2501,3,2017,2019-08-22 20:00:00
UHIN,11,Kross Pham,1,4,114,5,96,
PayLease,19,Kross Pham,2,5,126,7,822,2019-05-31 20:00:00
Bloomerang,21,Kross Pham,1,5,10144,12,2462,2019-06-27 20:00:00
Varsity_Tutors,16,Kross Pham,1,5,56001,7,241,2019-07-26 20:00:00
Tempus1,19,Kross Pham,0,5,3593,12,1606,2019-09-17 20:00:00
Clever,13,Kross Pham,0,6,1847,10,345,2019-05-03 20:00:00
Popular_Pays,18,Kross Pham,1,7,401,6,216,2019-05-17 20:00:00
Infosec,21,Kross Pham,1,9,2632,10,2119,2019-08-06 20:00:00
Real_Recruit_LLC,5,Kross Pham,0,10,355,3,96,2019-04-18 20:00:00
IQVIA,14,Kross Pham,0,11,76,4,205,2019-08-21 20:00:00
Oracle2,16,Kross Pham,0,12,594,6,478,
SkyTouch_Technology,23,Kross Pham,2,16,26650,13,4941,2019-08-06 20:00:00
OrderMyGear1,25,Kross Pham,0,17,79212,12,1718,2019-06-14 20:00:00
Capium_Limited,21,Kross Pham,1,17,11237,3,1326,2019-09-06 20:00:00
z3PL_Central1,28,Kross Pham,4,38,68839,19,3492,2019-06-27 20:00:00
