Account ID,Days Active,PS Rep Assigned (All Apps),NPS Guides Published (All Apps),Published Guides Count (All Apps),Guide Views (30 days) (All Apps),Visitors,Time on App (minutes),Quick Start End (All Apps)
Smartcare,22,Kari Scharf,0,0,0,9,564,2019-07-01 20:00:00
Gecko_Labs_Limited,5,Kari Scharf,0,0,0,1,27,2019-06-03 20:00:00
Daxko1,9,Kari Scharf,0,0,0,6,411,2019-08-26 20:00:00
Tyler_Technologies,19,Kari Scharf,0,0,198,17,1984,2019-09-23 20:00:00
LeadSquared1,25,Kari Scharf,0,0,0,16,1576,2019-09-12 20:00:00
TruckIT,4,Kari Scharf,0,0,0,4,21,2019-06-20 20:00:00
PerfectServe,19,Kari Scharf,0,0,0,7,353,2019-08-26 20:00:00
SmarterHQ,8,Kari Scharf,0,0,0,2,25,2019-05-23 20:00:00
Geosys1,12,Kari Scharf,0,0,0,5,186,2019-08-01 20:00:00
Freightwaves,28,Kari Scharf,1,1,1831,24,1609,2019-06-28 20:00:00
Atrium,18,Kari Scharf,0,1,216,8,560,2019-08-14 20:00:00
GoSpotCheck,20,Kari Scharf,1,1,200,25,1367,2019-04-29 20:00:00
Targetprocess,11,Kari Scharf,0,2,1717,4,191,2019-09-09 20:00:00
Truckstop_com,15,Kari Scharf,0,2,0,12,926,2019-05-10 20:00:00
bugsnag,1,Kari Scharf,0,2,1017,1,3,2019-05-31 20:00:00
Ipreo1,12,Kari Scharf,0,2,3140,6,399,2019-06-11 20:00:00
INSZoom_com__Inc_,21,Kari Scharf,0,4,4436,6,1282,2019-07-01 20:00:00
Pi_Datametrics1,20,Kari Scharf,1,4,488,13,795,2019-07-25 20:00:00
Myagi,21,Kari Scharf,0,6,14460,5,418,2019-07-22 20:00:00
Ease_Inc,20,Kari Scharf,2,8,25571,5,786,2019-07-12 20:00:00
eVisit1,16,Kari Scharf,0,8,678,5,356,2019-07-12 20:00:00
InfoArmor,13,Kari Scharf,0,9,22297,8,438,2019-06-27 20:00:00
Fattmerchant__Inc_,21,Kari Scharf,0,11,6807,18,2171,2019-09-06 20:00:00
Rental_Beast,19,Kari Scharf,0,14,912,4,1331,2019-07-25 20:00:00
Disciple,27,Kari Scharf,1,14,22761,11,862,2019-06-21 20:00:00
Enviance,5,Kari Scharf,0,15,0,3,80,2019-07-10 20:00:00
Justworks,24,Kari Scharf,0,18,82333,8,1310,2019-09-23 20:00:00
RankMi3,21,Kari Scharf,0,18,24497,9,1703,2019-08-12 20:00:00
Flashpoint_Intel,22,Kari Scharf,1,22,2042,18,492,2019-05-02 20:00:00
DigitalMarketer,20,Kari Scharf,0,24,15432,4,748,2019-08-26 20:00:00
Ebsta_Limited,23,Kari Scharf,1,24,601,6,536,2019-06-21 20:00:00
Gelato,17,Kari Scharf,0,28,4040,6,382,2019-04-26 20:00:00
Tipalti,28,Kari Scharf,1,29,11872,12,3528,2019-04-26 20:00:00
TKSX,10,Kari Scharf,0,46,1085,5,150,2019-03-29 20:00:00
Fuel_Cycle2,22,Kari Scharf,1,69,3030,6,1251,2019-04-02 20:00:00
Mobideo,11,Kari Scharf,0,80,774,5,839,2019-03-29 20:00:00
Betterworks,18,Kari Scharf,1,161,58775,8,468,2019-07-12 20:00:00
